"","Median",".025",".975"
"Lambda",1.08284990195943,1.05905880463238,1.10781365921339
"rmax",0.0795963637316142,0.0573805935312321,0.102388396573909
"Generation Time",19.3207173602826,16.9219433875371,20.4636605725561
"Net Repro Rate",5.30838645070544,3.03524837974096,9.53984469298715
"Age-0 Survivorship",0.912602935118677,0.894012258712405,0.932009188173174
"Alpha hat",4.84444418654207,2.72054345594984,8.88932401616803
"Steepness",0.547738680245698,0.404810037997841,0.689665648661155
"SPR_MER",0.454336911747661,0.335401987969315,0.606278499849817
"R",0.553861142373537,0.507076209809187,0.62050292705345
